Col1,ID,Date,Produit,Utilisateur,Texte
4,11,Mon May 11 03:27:15 UTC 2009,twitter,PJ_King,Loves twitter
4,20,Mon May 11 05:21:04 UTC 2009,lebron,mtgillikin,i love lebron.
4,34,Mon May 11 19:49:21 UTC 2009,fredwilson,andrewwatson,- awesome come back from  (via )
4,46,Thu May 14 02:58:07 UTC 2009,"""booz allen""",JoeSchueller,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!
4,47,Thu May 14 02:58:23 UTC 2009,"""booz allen""",scottabel,[] Customer Innovation Award Winner: Booz Allen Hamilton --
2,50,Thu May 14 05:25:04 UTC 2009,40d,hiteshbagai,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
0,121,Sat May 16 22:42:07 UTC 2009,itchy,MarissaLeeD,omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
0,123,Sat May 16 22:42:44 UTC 2009,itchy,EdwinLValencia,"no. I'm not itchy for now. Maybe later, lol."
4,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
0,134,Sun May 17 17:28:02 UTC 2009,sleep,Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
0,135,Sun May 17 17:29:50 UTC 2009,san francisco,Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
2,137,Sun May 17 17:30:23 UTC 2009,san francisco,schuyler,just landed at San Francisco
2,138,Sun May 17 17:30:56 UTC 2009,san francisco,MattBragoni,San Francisco today.  Any suggestions?
0,139,Sun May 17 17:32:00 UTC 2009,aig,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ...
0,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,ShaunWoo hate'n on AiG
2,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,Going to see star trek soon with my dad.
2,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell
4,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,Highly recommend:  by Malcolm Gladwell
4,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,Malcolm Gladwell might be my new man crush
4,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
4,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,Hello Twitter API ;)
0,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,yahoo answers can be a butt sometimes
4,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google -
2,174,Wed May 20 02:38:27 UTC 2009,nike,MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo?"
2,175,Wed May 20 02:38:45 UTC 2009,nike,cadburysgirl,"'Next time, I'll call myself Nike'"
2,176,Wed May 20 02:38:50 UTC 2009,nike,AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum'
4,178,Wed May 20 02:39:28 UTC 2009,nike,PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :)
0,196,Sun May 24 20:48:14 UTC 2009,lambda calculus,read0,needs someone to explain lambda calculus to him! :(
2,206,Mon May 25 17:15:43 UTC 2009,stanford,jimmy_chan2009,New blog post: Harvard Versus Stanford - Who Wins?
4,207,Mon May 25 17:17:04 UTC 2009,lakers,a_fio,@ work til 6pm... lets go lakers!!!
0,208,Mon May 25 17:18:29 UTC 2009,north korea,luvslikepi,Damn you North Korea.
0,210,Mon May 25 17:19:14 UTC 2009,north korea,stabotage,"North Korea, please cease this douchebaggery. China doesn't even like you anymore."
0,213,Mon May 25 17:25:34 UTC 2009,insects,malcozer,insects have infected my spinach plant :(
4,217,Mon May 25 17:29:39 UTC 2009,mcdonalds,MamiYessi,omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
0,218,Mon May 25 17:31:21 UTC 2009,exam,jvici0us,History exam studying ugh
0,219,Mon May 25 17:31:43 UTC 2009,exam,enriquenieto,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
2,234,Wed May 27 00:34:47 UTC 2009,jquery book,cfbloggers,jQuery UI 1.6 Book Review -
4,235,Wed May 27 00:38:56 UTC 2009,goodby silverstein,CaerusMe,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre"
4,236,Wed May 27 00:39:13 UTC 2009,goodby silverstein,HallandPartners,Goodby Silverstein agency new site!  Great!
4,237,Wed May 27 00:39:21 UTC 2009,goodby silverstein,suedecrush,"Goodby, Silverstein's new site:  I enjoy it. *nice find!*"
4,251,Wed May 27 23:49:47 UTC 2009,g2,xzela,zomg!!! I have a G2!!!!!!!
4,253,Wed May 27 23:50:46 UTC 2009,g2,crashfaster,just got a free G2 android at google i/o!!!
2,255,Wed May 27 23:56:56 UTC 2009,googleio,mastooo,At GWT fireside chat
4,256,Wed May 27 23:59:18 UTC 2009,googleio,maex242,I am happy for Philip being at GoogleIO today
4,317,Sat May 30 17:46:39 UTC 2009,lakers,specs20,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
2,328,Sun May 31 06:51:14 UTC 2009,viral marketing,BrandKarma,"Hi there, does anyone have a great source for advice on viral marketing?..."
4,329,Sun May 31 06:51:30 UTC 2009,viral marketing,mattcad,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best.
2,330,Sun May 31 06:51:34 UTC 2009,viral marketing,grahamgrimshaw,"Here's A case study on how to use viral marketing to add over 10,000 people to your list"
0,331,Sun May 31 06:51:44 UTC 2009,viral marketing,nicoleisms,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
0,406,Tue Jun 02 03:15:11 UTC 2009,time warner,mmmPi,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."
